"C:\Program Files\Java\jdk-17.0.4\bin\java.exe" -agentlib:jdwp=transport=dt_socket,address=127.0.0.1:56921,suspend=y,server=n -agentpath:C:\Users\Administrator\AppData\Local\Temp\idea_libasyncProfiler_dll_temp_folder467\libasyncProfiler.dll=version,jfr,event=wall,interval=10ms,cstack=no,file=C:\Users\Administrator\IdeaSnapshots\Main_2025_03_24_215012.jfr,dbghelppath=C:\Users\Administrator\AppData\Local\Temp\idea_dbghelp_dll_temp_folder2700\dbghelp.dll,log=C:\Users\Administrator\AppData\Local\Temp\Main_2025_03_24_215012.jfr.log.txt,logLevel=DEBUG -javaagent:C:\Users\Administrator\AppData\Local\JetBrains\IntelliJIdea2024.3\captureAgent\debugger-agent.jar -Dkotlinx.coroutines.debug.enable.creation.stack.trace=false -Ddebugger.agent.enable.coroutines=true -Dkotlinx.coroutines.debug.enable.flows.stack.trace=true -Dkotlinx.coroutines.debug.enable.mutable.state.flows.stack.trace=true -Dfile.encoding=UTF-8 -classpath "D:\ideaWorkSpaceAll\boom_beach_exp\target\classes;D:\repository\cn\hutool\hutool-all\5.8.20\hutool-all-5.8.20.jar;D:\repository\org\jsoup\jsoup\1.10.2\jsoup-1.10.2.jar;D:\idea24\IntelliJ IDEA 2024.3.1.1\lib\idea_rt.jar" com.yll.Main
已连接到地址为 ''127.0.0.1:56921'，传输: '套接字'' 的目标虚拟机
加载数据完毕
单独建筑升级顺序：
加农炮：3->4（ max：14） exp：18 ratio：5.1 sumExp：18 totalTime:3.5h  spend:3.5h
潜水艇：5->6（ max：9） exp：15 ratio：1.9 sumExp：8441 totalTime:90.9d  spend:8.0h
潜水艇：6->7（ max：9） exp：17 ratio：1.7 sumExp：8458 totalTime:91.3d  spend:10.0h
潜水艇：7->8（ max：9） exp：20 ratio：1.7 sumExp：8478 totalTime:91.8d  spend:12.0h
潜水艇：8->9（ max：9） exp：22 ratio：1.7 sumExp：8500 totalTime:92.3d  spend:13.0h
在当前司令部等级：16下,玩家能够升级到46级，剩余1009经验
Press enter!

单独研究所升级顺序：
地雷：11->12（ max：14） exp：42 ratio：3.2 sumExp：42 totalTime:13.0h  spend:13.0h
高爆地雷：4->5（ max：8） exp：45 ratio：3.2 sumExp：87 totalTime:1.1d  spend:14.0h
地雷：12->13（ max：14） exp：45 ratio：3.0 sumExp：132 totalTime:1.8d  spend:15.0h
地雷：13->14（ max：14） exp：45 ratio：3.0 sumExp：177 totalTime:2.4d  spend:15.0h
玩家升级了！！！  39--->40，剩余27经验
高爆地雷：5->6（ max：8） exp：50 ratio：2.8 sumExp：227 totalTime:3.1d  spend:18.0h
高爆地雷：6->7（ max：8） exp：54 ratio：2.6 sumExp：281 totalTime:4.0d  spend:21.0h
高爆地雷：7->8（ max：8） exp：54 ratio：2.6 sumExp：335 totalTime:4.9d  spend:21.0h
火箭炮手：5->6（ max：13） exp：50 ratio：2.3 sumExp：385 totalTime:5.8d  spend:22.0h
步兵：7->8（ max：14） exp：50 ratio：2.3 sumExp：435 totalTime:6.7d  spend:22.0h
步兵：8->9（ max：14） exp：52 ratio：2.2 sumExp：487 totalTime:7.7d  spend:24.0h
步兵：9->10（ max：14） exp：52 ratio：2.1 sumExp：539 totalTime:8.8d  spend:25.0h
重机枪兵：8->9（ max：14） exp：56 ratio：2.1 sumExp：595 totalTime:9.9d  spend:27.0h
重机枪兵：9->10（ max：14） exp：56 ratio：2.0 sumExp：651 totalTime:11.0d  spend:28.0h
医药包：9->10（ max：14） exp：56 ratio：2.0 sumExp：707 totalTime:12.2d  spend:28.0h
步兵：10->11（ max：14） exp：55 ratio：2.0 sumExp：762 totalTime:13.4d  spend:28.0h
火箭炮手：6->7（ max：13） exp：57 ratio：1.9 sumExp：819 totalTime:14.6d  spend:30.0h
火箭炮手：7->8（ max：13） exp：60 ratio：1.9 sumExp：879 totalTime:15.9d  spend:31.0h
步兵：12->13（ max：14） exp：67 ratio：1.9 sumExp：946 totalTime:17.4d  spend:36.0h
重机枪兵：10->11（ max：14） exp：59 ratio：1.8 sumExp：1005 totalTime:18.8d  spend:32.0h
医药包：10->11（ max：14） exp：59 ratio：1.8 sumExp：1064 totalTime:20.1d  spend:32.0h
火箭炮手：8->9（ max：13） exp：60 ratio：1.8 sumExp：1124 totalTime:21.5d  spend:33.0h
步兵：11->12（ max：14） exp：61 ratio：1.8 sumExp：1185 totalTime:22.8d  spend:33.0h
重机枪兵：11->12（ max：14） exp：66 ratio：1.8 sumExp：1251 totalTime:24.4d  spend:37.0h
医药包：11->12（ max：14） exp：66 ratio：1.8 sumExp：1317 totalTime:25.9d  spend:37.0h
火箭炮手：9->10（ max：13） exp：64 ratio：1.7 sumExp：1381 totalTime:27.5d  spend:37.0h
玩家升级了！！！  40--->41，剩余8经验
土著勇士：6->7（ max：10） exp：64 ratio：1.7 sumExp：1445 totalTime:29.0d  spend:37.0h
步兵：13->14（ max：14） exp：67 ratio：1.7 sumExp：1512 totalTime:30.6d  spend:39.0h
重机枪兵：12->13（ max：14） exp：71 ratio：1.7 sumExp：1583 totalTime:32.3d  spend:41.0h
火箭炮手：10->11（ max：13） exp：71 ratio：1.6 sumExp：1654 totalTime:34.2d  spend:44.0h
土著勇士：7->8（ max：10） exp：71 ratio：1.6 sumExp：1725 totalTime:36.0d  spend:44.0h
重机枪兵：13->14（ max：14） exp：71 ratio：1.6 sumExp：1796 totalTime:37.8d  spend:44.0h
医药包：12->13（ max：14） exp：71 ratio：1.6 sumExp：1867 totalTime:39.7d  spend:44.0h
医药包：13->14（ max：14） exp：71 ratio：1.6 sumExp：1938 totalTime:41.5d  spend:44.0h
火箭炮手：11->12（ max：13） exp：77 ratio：1.6 sumExp：2015 totalTime:43.5d  spend:48.0h
土著勇士：8->9（ max：10） exp：77 ratio：1.6 sumExp：2092 totalTime:45.5d  spend:48.0h
火箭炮手：12->13（ max：13） exp：77 ratio：1.5 sumExp：2169 totalTime:47.6d  spend:51.0h
土著勇士：9->10（ max：10） exp：77 ratio：1.5 sumExp：2246 totalTime:49.8d  spend:51.0h
坦克：5->6（ max：6） exp：87 ratio：1.4 sumExp：2333 totalTime:52.4d  spend:64.0h
在当前司令部等级：16下,玩家能够升级到41级，剩余960经验
Press enter!

已与地址为 ''127.0.0.1:56921'，传输: '套接字'' 的目标虚拟机断开连接

进程已结束，退出代码为 0
